Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-04-09,I ♥ Huckabees,2004,https://boxd.it/dU05IF,2,,,2026-04-09
2026-04-10,Erin Brockovich,2000,https://boxd.it/dUIxSL,3,,,2026-04-10
2026-04-10,Moon,2009,https://boxd.it/dUIGWH,2.5,Yes,,2026-04-10
2026-04-11,Waiting...,2005,https://boxd.it/dUPoit,3,,,2026-04-10
2026-04-11,War Machine,2017,https://boxd.it/dUWR79,2,,,2026-04-10
2026-04-11,Lord of War,2005,https://boxd.it/dVw6wD,4,,,2026-04-11
2026-04-12,Just Mercy,2019,https://boxd.it/dVMjK1,3,,,2026-04-11
2026-04-12,Deepwater Horizon,2016,https://boxd.it/dWz2Sv,3.5,,,2026-04-12
2026-04-12,No Hard Feelings,2023,https://boxd.it/dWz8FH,2.5,Yes,,2026-04-12
2026-04-12,"Love, Death & Robots: Zima Blue",2019,https://boxd.it/dWzIIH,3,,,2026-04-12
2026-04-12,A Scanner Darkly,2006,https://boxd.it/dWDBCb,4.5,,,2026-04-12
2026-04-13,The Fugitive,1993,https://boxd.it/dWKlYT,3.5,,,2026-04-12
2026-04-13,The Banshees of Inisherin,2022,https://boxd.it/dXDhdf,4,,,2026-04-13
2026-04-13,Shooter,2007,https://boxd.it/dXE2tf,3.5,,,2026-04-13
2026-04-14,W.,2008,https://boxd.it/dXHgun,3.5,,,2026-04-13
2026-04-14,Polytechnique,2009,https://boxd.it/dXIeCh,4.5,,,2026-04-13
2026-04-14,The Party,2017,https://boxd.it/dXKWz1,4,,,2026-04-13
2026-04-14,WALL·E,2008,https://boxd.it/dYjxVh,5,Yes,,2026-04-14
2026-04-14,Fun with Dick and Jane,2005,https://boxd.it/dYljkF,3.5,,,2026-04-14
2026-04-14,Fargo,1996,https://boxd.it/dYmQ3z,3.5,,,2026-04-14
2026-04-14,Four Brothers,2005,https://boxd.it/dYpBAz,4,,,2026-04-14
2026-04-14,The Day After Tomorrow,2004,https://boxd.it/dYrTUL,3.5,,,2026-04-14
2026-04-14,Everest,2015,https://boxd.it/dYrUIV,4,,,2026-04-14
2026-04-15,The Bride!,2026,https://boxd.it/dYxa3z,3.5,,,2026-04-14
2026-04-15,Shaft,2000,https://boxd.it/dYEoeF,4,,,2026-04-14
2026-04-15,District 9,2009,https://boxd.it/dYEKe3,4.5,Yes,,2026-04-14
2026-04-15,Oxygen,2021,https://boxd.it/dYEUo3,3,Yes,,2026-04-14
2026-04-15,Geostorm,2017,https://boxd.it/dYEW0x,4,Yes,,2026-04-14
2026-04-15,Valerian and the City of a Thousand Planets,2017,https://boxd.it/dYEWjT,1,Yes,,2026-04-14
2026-04-15,The Martian,2015,https://boxd.it/dYEXqV,4.5,Yes,,2026-04-14
2026-04-15,Den of Thieves,2018,https://boxd.it/dYF4xp,4.5,Yes,,2026-04-14
2026-04-15,Den of Thieves 2: Pantera,2025,https://boxd.it/dYF6gP,2.5,Yes,,2026-04-14
2026-04-15,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/dZ0Ynn,3,,,2026-04-15
2026-04-15,The Lord of the Rings: The Return of the King,2003,https://boxd.it/dZ0YMd,3,Yes,,2026-04-15
2026-04-15,The Lord of the Rings: The Two Towers,2002,https://boxd.it/dZ0Z6H,3.5,Yes,,2026-04-15
2026-04-15,Hot Fuzz,2007,https://boxd.it/dZ0ZGb,4,,,2026-04-15
2026-04-15,Shaun of the Dead,2004,https://boxd.it/dZ10Xn,4,Yes,,2026-04-15
2026-04-15,Ocean's Eight,2018,https://boxd.it/dZ11zL,3.5,Yes,,2026-04-15
2026-04-15,Hit Man,2023,https://boxd.it/dZ13QT,3.5,Yes,,2026-04-15
2026-04-16,Elizabeth: The Golden Age,2007,https://boxd.it/dZfsh3,3,,,2026-04-15
2026-04-16,Bramayugam,2024,https://boxd.it/dZpHHZ,2.5,,,2026-04-15
2026-04-17,Arbitrage,2012,https://boxd.it/e0y9jr,4.5,,,2026-04-17
2026-04-18,Sully,2016,https://boxd.it/e0GVbh,4,,,2026-04-17
2026-04-18,The Hurt Locker,2008,https://boxd.it/e0IIVv,5,,,2026-04-17
2026-04-18,Fury,2014,https://boxd.it/e0IJzl,4.5,Yes,,2026-04-17
2026-04-18,Black Hawk Down,2001,https://boxd.it/e0J5X5,3.5,,,2026-04-17
2026-04-19,Longlegs,2024,https://boxd.it/e243uB,3.5,,,2026-04-19
2026-04-20,Train Dreams,2025,https://boxd.it/e2krAZ,3.5,,,2026-04-19
2026-04-20,Tape,2001,https://boxd.it/e386OB,3.5,,,2026-04-20
2026-04-21,The Banker,2020,https://boxd.it/e3iTaP,3,,,2026-04-20
2026-04-21,The Kill Room,2023,https://boxd.it/e3mAZd,1.5,,,2026-04-20
2026-04-21,The Handmaiden,2016,https://boxd.it/e3SEJx,3.5,,,2026-04-21
2026-04-22,Friends with Money,2006,https://boxd.it/e46Hy1,4,,,2026-04-21
2026-04-22,Brothers,2009,https://boxd.it/e4b3ix,4,,,2026-04-21
2026-04-22,Forgotten,2017,https://boxd.it/e4EUQZ,2,,,2026-04-22
2026-04-22,Motherhood,2009,https://boxd.it/e4F9JT,2,,,2026-04-22
2026-04-22,Contagion,2011,https://boxd.it/e4H66j,3.5,,,2026-04-22
2026-04-22,21 & Over,2013,https://boxd.it/e4IskT,3.5,,,2026-04-22
2026-04-23,mother!,2017,https://boxd.it/e4KHpX,0.5,,,2026-04-22
2026-04-23,Paterson,2016,https://boxd.it/e4KWCH,2,Yes,,2026-04-22
2026-04-23,A Perfect Murder,1998,https://boxd.it/e4MzyL,4.5,,,2026-04-22
2026-04-23,A Clockwork Orange,1971,https://boxd.it/e5lJBv,3,,,2026-04-23
2026-04-23,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/e5p7Px,0.5,,,2026-04-23
2026-04-24,Psycho,1960,https://boxd.it/e5qVaV,4.5,,,2026-04-23
2026-04-24,Antichrist,2009,https://boxd.it/e5rKOx,1.5,,,2026-04-23
2026-04-24,21 Grams,2003,https://boxd.it/e62sg7,3.5,,,2026-04-24
2026-04-25,All the Way,2016,https://boxd.it/e67VVD,3.5,,,2026-04-24
2026-04-25,The Infiltrator,2016,https://boxd.it/e6dBEz,3,,,2026-04-24
2026-04-25,17 Again,2009,https://boxd.it/e6hqmx,4,,,2026-04-24
2026-04-25,Easy A,2010,https://boxd.it/e6Jv6v,3.5,Yes,,2026-04-25
2026-04-25,The Royal Tenenbaums,2001,https://boxd.it/e6L5eH,3,,,2026-04-25
2026-04-25,Bad Teacher,2011,https://boxd.it/e6NlzF,3.5,,,2026-04-25
2026-04-25,Me and Earl and the Dying Girl,2015,https://boxd.it/e6PLuP,5,,,2026-04-25
2026-04-26,The Perks of Being a Wallflower,2012,https://boxd.it/e6TUcX,4.5,,,2026-04-25
2026-04-26,Absolute Power,1997,https://boxd.it/e72uZd,3,,,2026-04-25
2026-04-26,Gran Torino,2008,https://boxd.it/e795Bf,4,,,2026-04-25
2026-04-26,Madagascar,2005,https://boxd.it/e7LJm1,2,,,2026-04-26
2026-04-27,Madagascar: Escape 2 Africa,2008,https://boxd.it/e83HL5,3,,,2026-04-26
2026-04-27,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/e8BMmn,3.5,,,2026-04-27
2026-04-27,Up,2009,https://boxd.it/e8BZMt,5,Yes,,2026-04-27
2026-04-27,The Good Dinosaur,2015,https://boxd.it/e8C0d5,4,Yes,,2026-04-27
2026-04-27,Ralph Breaks the Internet,2018,https://boxd.it/e8C1q5,3,Yes,,2026-04-27
2026-04-27,Big Hero 6,2014,https://boxd.it/e8C2jf,4,Yes,,2026-04-27
2026-04-27,Wreck-It Ralph,2012,https://boxd.it/e8C2RL,3.5,Yes,,2026-04-27
2026-04-27,Klaus,2019,https://boxd.it/e8C3yP,3.5,Yes,,2026-04-27
2026-04-27,Toy Story 4,2019,https://boxd.it/e8GxP5,4,,,2026-04-27
2026-04-28,Thief,1981,https://boxd.it/e8Wvbf,4,,,2026-04-27
2026-04-30,Aftersun,2022,https://boxd.it/eaMlln,4.5,,,2026-04-30
2026-04-30,Spirited Away,2001,https://boxd.it/eaMU1R,3,,,2026-04-30
2026-04-30,The King's Speech,2010,https://boxd.it/eaPi7D,5,,,2026-04-30
2026-05-01,Dangerous Liaisons,1988,https://boxd.it/eaRZ4L,2.5,,,2026-04-30
2026-05-01,The Iron Lady,2011,https://boxd.it/eaTL9h,2.5,,,2026-04-30
2026-05-02,The Adventures of Tintin,2011,https://boxd.it/ebOaeX,4,,,2026-05-01
2026-05-06,Donnie Brasco,1997,https://boxd.it/efX9up,3,,,2026-05-06
2026-05-07,Unthinkable,2010,https://boxd.it/eg6227,2.5,,,2026-05-06
2026-05-07,Body of Lies,2008,https://boxd.it/egvLbD,3,Yes,,2026-05-07
2026-05-07,Mission: Impossible – Rogue Nation,2015,https://boxd.it/egvN0H,3.5,Yes,,2026-05-07
2026-05-07,"Wake Up, Ron Burgundy: The Lost Movie",2004,https://boxd.it/egvOm5,3.5,Yes,,2026-05-07
2026-05-07,Anchorman 2: The Legend Continues,2013,https://boxd.it/egvPCt,2.5,Yes,,2026-05-07
2026-05-07,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/egvPRX,4,Yes,,2026-05-07
2026-05-07,Identity,2003,https://boxd.it/egwXGb,3,,,2026-05-07
2026-05-07,Star Trek,2009,https://boxd.it/egB8DP,2.5,,,2026-05-07
2026-05-08,Star Trek Into Darkness,2013,https://boxd.it/egK34t,3,,,2026-05-07
2026-05-08,Star Trek Beyond,2016,https://boxd.it/ehhzuJ,3,,,2026-05-08
2026-05-09,Surrogates,2009,https://boxd.it/ehnhuj,3.5,,,2026-05-08
2026-05-09,Rope,1948,https://boxd.it/ehp8a9,5,,,2026-05-08
2026-05-09,Good Fortune,2025,https://boxd.it/ei0RGt,3,,,2026-05-09
2026-05-09,The Drama,2026,https://boxd.it/ei4OMB,3.5,,,2026-05-09
2026-05-11,Cape Fear,1991,https://boxd.it/eja5hp,4.5,,,2026-05-10
2026-05-11,Constantine,2005,https://boxd.it/ejZJrB,3.5,Yes,,2026-05-11
2026-05-11,Downfall,2004,https://boxd.it/ek1j8H,1.5,,,2026-05-11
2026-05-12,Rendition,2007,https://boxd.it/ek8Esx,3,Yes,,2026-05-11
2026-05-12,Before I Go to Sleep,2014,https://boxd.it/ekdnsF,3.5,,,2026-05-11
2026-05-13,Grimsby,2016,https://boxd.it/elmhxr,2,,,2026-05-13
2026-05-13,The Circle,2017,https://boxd.it/elnTlv,3,,,2026-05-13
2026-05-13,Dinner for Schmucks,2010,https://boxd.it/elogR5,4,Yes,,2026-05-13
2026-05-13,Little Women,2019,https://boxd.it/eloh7d,3.5,Yes,,2026-05-13
2026-05-13,The Last Boy Scout,1991,https://boxd.it/elq6WN,3,,,2026-05-13
2026-05-13,Honey Don't!,2025,https://boxd.it/elqIpx,1,,,2026-05-13
2026-05-13,The Housemaid,2025,https://boxd.it/elsNrn,1.5,,,2026-05-13
2026-05-14,Get Hard,2015,https://boxd.it/elwauF,4,,,2026-05-13
2026-05-14,The Post,2017,https://boxd.it/em61fN,3,,,2026-05-14
2026-05-15,I Saw the Devil,2010,https://boxd.it/emeumJ,2.5,,,2026-05-14
2026-05-15,Father Figures,2017,https://boxd.it/emMNBB,2,,,2026-05-15
2026-05-15,The Monuments Men,2014,https://boxd.it/emRgKP,4,,,2026-05-15
2026-05-15,The Dilemma,2011,https://boxd.it/emUkiB,4,,,2026-05-15
2026-05-15,Mongol: The Rise of Genghis Khan,2007,https://boxd.it/emUvrf,3.5,Yes,,2026-05-15
2026-05-16,The Last Emperor,1987,https://boxd.it/en4d0l,4,,,2026-05-15
2026-05-17,Rogue One: A Star Wars Story,2016,https://boxd.it/eouAxD,3.5,,,2026-05-17
2026-05-17,I Origins,2014,https://boxd.it/eozJKL,5,,,2026-05-17
2026-05-17,Another Earth,2011,https://boxd.it/eoBysF,2,,,2026-05-17
2026-05-17,The Wonderful Story of Henry Sugar,2023,https://boxd.it/eoEsqp,2.5,,,2026-05-17
2026-05-17,Risky Business,1983,https://boxd.it/eoGBpz,3.5,,,2026-05-17
2026-05-17,Funny Games,2007,https://boxd.it/eoHzml,1.5,,,2026-05-17
2026-05-18,Doubt,2008,https://boxd.it/eoOtY3,4,,,2026-05-17
2026-05-18,Ready or Not 2: Here I Come,2026,https://boxd.it/epzarN,3.5,,,2026-05-18
2026-05-18,Ready or Not,2019,https://boxd.it/epzbmp,2.5,,,2026-05-18
2026-05-18,Resident Evil,2002,https://boxd.it/epE4wd,3,,,2026-05-18
2026-05-18,Resident Evil: Apocalypse,2004,https://boxd.it/epENrR,2,,,2026-05-18
2026-05-18,Resident Evil: Extinction,2007,https://boxd.it/epFsaR,2,,,2026-05-18
2026-05-18,Resident Evil: Afterlife,2010,https://boxd.it/epGer7,3.5,,,2026-05-18
2026-05-18,Resident Evil: Retribution,2012,https://boxd.it/epGFJx,2.5,,,2026-05-18
2026-05-19,Resident Evil: The Final Chapter,2016,https://boxd.it/epJ7AH,3,,,2026-05-18
2026-05-19,Detective Byomkesh Bakshy!,2015,https://boxd.it/eqlCd1,4,,,2026-05-19
2026-05-19,The Wild Robot,2024,https://boxd.it/eqp8Xh,3.5,,,2026-05-19
2026-05-20,Twelve Monkeys,1995,https://boxd.it/eqGhSp,4,,,2026-05-19
2026-05-20,The Mexican,2001,https://boxd.it/er2uaf,5,,,2026-05-20
2026-05-20,Glengarry Glen Ross,1992,https://boxd.it/erbFHH,5,,,2026-05-20
2026-05-21,Spy Game,2001,https://boxd.it/erhtaX,3.5,,,2026-05-20
2026-05-22,Awakenings,1990,https://boxd.it/erXRgT,3.5,,,2026-05-21
2026-05-22,A Bronx Tale,1993,https://boxd.it/es3dCn,4,,,2026-05-21
2026-05-22,Sleepers,1996,https://boxd.it/essgNt,2.5,,,2026-05-22
2026-05-22,De Dana Dan,2009,https://boxd.it/esAKJH,5,,,2026-05-22
2026-05-22,Forgetting Sarah Marshall,2008,https://boxd.it/esCqrR,1,,,2026-05-22
2026-05-25,8 x 10 Tasveer,2009,https://boxd.it/euC2PX,3.5,,,2026-05-24
2026-05-29,The Thing,1982,https://boxd.it/eyttmB,4,,,2026-05-29
2026-05-29,Warrior,2011,https://boxd.it/eyv9W9,2.5,,,2026-05-29
2026-05-30,The Thing,2011,https://boxd.it/eyDJoN,4,,,2026-05-29
2026-05-30,Captain Fantastic,2016,https://boxd.it/eyIao9,4,,,2026-05-29
2026-05-30,Lolita,1997,https://boxd.it/ezc72f,2,,,2026-05-30
2026-05-30,The Losers,2010,https://boxd.it/ezgI3n,2,,,2026-05-30
2026-05-30,The Loft,2014,https://boxd.it/ezmQcT,4,,,2026-05-30
2026-05-30,He Got Game,1998,https://boxd.it/ezpqHH,3,,,2026-05-30
2026-05-31,Official Secrets,2019,https://boxd.it/ezyfBV,3.5,,,2026-05-30
2026-05-31,Shock and Awe,2017,https://boxd.it/eAf1Gj,4,,,2026-05-31
2026-05-31,Marie Antoinette,2006,https://boxd.it/eAgRsb,0.5,,,2026-05-31
2026-05-31,Saving Mr. Banks,2013,https://boxd.it/eAlnkh,3.5,,,2026-05-31
2026-05-31,Minari,2020,https://boxd.it/eAmK6J,4,,,2026-05-31
2026-05-31,Eastern Promises,2007,https://boxd.it/eArg8P,4,,,2026-05-31
2026-06-01,Mary Queen of Scots,2018,https://boxd.it/eAvsFp,4,,,2026-05-31
2026-06-02,Looper,2012,https://boxd.it/eCjqpN,4,,,2026-06-02
2026-06-03,Tom Clancy's Jack Ryan: Ghost War,2026,https://boxd.it/eCqPuR,1,,,2026-06-02
2026-06-03,Alfie,1966,https://boxd.it/eD6U5V,3.5,,,2026-06-03
2026-06-03,In the Grey,2026,https://boxd.it/eD9tCT,4.5,,,2026-06-03
2026-06-03,American Beauty,1999,https://boxd.it/eDbdpj,5,,,2026-06-03
2026-06-04,Creep,2014,https://boxd.it/eDNuB3,2,,,2026-06-04
2026-06-04,Fallen Angels,1995,https://boxd.it/eDROBl,3,,,2026-06-04
2026-06-04,Molly's Game,2017,https://boxd.it/eDZEtH,4,,,2026-06-04
2026-06-05,Ronin,1998,https://boxd.it/eEH8Nj,3.5,,,2026-06-05
2026-06-06,Obsession,2025,https://boxd.it/eFL4qd,4.5,,,2026-06-06
2026-06-12,Michael,2026,https://boxd.it/eKZbKn,3,,,2026-06-12
2026-06-12,Charlie Bartlett,2007,https://boxd.it/eKZcen,3.5,,,2026-06-12
2026-06-16,Fracture,2007,https://boxd.it/eOCa7T,3,,,2026-06-16
2026-06-19,Fractured,2019,https://boxd.it/eQNytJ,1,,,2026-06-19
2026-06-19,Richard Jewell,2019,https://boxd.it/eQR7jl,2.5,,,2026-06-19
2026-06-19,Braveheart,1995,https://boxd.it/eQVdVj,3,,,2026-06-19
2026-06-20,The Untouchables,1987,https://boxd.it/eRErzL,3.5,,,2026-06-20
